filename,width,height,class,xmin,ymin,xmax,ymax
00156.png,232,164,mound,129,106,148,125
00156.png,232,164,mound,96,123,110,137
00156.png,232,164,mound,65,134,84,152
00156.png,232,164,mound,5,76,22,95
00156.png,232,164,mound,4,110,23,131
00156.png,232,164,mound,40,88,60,109
00156.png,232,164,mound,35,116,55,135
00156.png,232,164,mound,30,20,56,42
00156.png,232,164,mound,34,147,52,164
00156.png,232,164,mound,90,144,107,164
00156.png,232,164,mound,163,135,185,158
00156.png,232,164,mound,187,147,206,164
00156.png,232,164,mound,210,122,228,139
00156.png,232,164,mound,111,30,136,53
00156.png,232,164,mound,88,60,112,76
00156.png,232,164,mound,76,15,103,32
00156.png,232,164,mound,96,100,116,119
00156.png,232,164,mound,150,81,166,96
