filename,width,height,class,xmin,ymin,xmax,ymax
00094.png,216,204,mound,158,11,180,27
00094.png,216,204,mound,180,36,200,58
00094.png,216,204,mound,134,37,156,57
00094.png,216,204,mound,99,14,116,30
00094.png,216,204,mound,108,37,128,54
00094.png,216,204,mound,119,61,140,80
00094.png,216,204,mound,138,92,155,108
00094.png,216,204,mound,156,117,178,137
00094.png,216,204,mound,187,168,205,183
00094.png,216,204,mound,27,67,42,78
00094.png,216,204,mound,48,3,62,15
00094.png,216,204,mound,57,31,76,48
00094.png,216,204,mound,78,89,94,106
00094.png,216,204,mound,66,54,87,72
00094.png,216,204,mound,89,113,107,130
