filename,width,height,class,xmin,ymin,xmax,ymax
00092.png,188,248,mound,145,6,164,27
00092.png,188,248,mound,120,136,139,156
00092.png,188,248,mound,166,121,182,135
00092.png,188,248,mound,75,68,99,88
00092.png,188,248,mound,4,34,22,48
00092.png,188,248,mound,21,83,42,104
00092.png,188,248,mound,0,101,20,116
00092.png,188,248,mound,3,216,19,229
00092.png,188,248,mound,17,173,34,187
00092.png,188,248,mound,26,190,43,206
00092.png,188,248,mound,44,121,71,144
00092.png,188,248,mound,82,130,102,148
00092.png,188,248,mound,73,163,95,179
00092.png,188,248,mound,30,49,49,64
00092.png,188,248,mound,150,100,164,113
00092.png,188,248,mound,41,166,55,177
00092.png,188,248,mound,52,200,72,219
