filename,width,height,class,xmin,ymin,xmax,ymax
00055.png,328,272,mound,40,235,81,272
00055.png,328,272,mound,25,127,71,166
00055.png,328,272,mound,176,139,220,184
00055.png,328,272,mound,233,126,272,165
00055.png,328,272,mound,266,8,313,53
00055.png,328,272,mound,192,6,230,45
00055.png,328,272,mound,169,46,213,91
00055.png,328,272,mound,156,25,182,49
00055.png,328,272,mound,77,130,110,164
00055.png,328,272,mound,115,25,144,55
00055.png,328,272,mound,94,47,120,72
00055.png,328,272,mound,71,169,93,190
00055.png,328,272,mound,37,196,71,230
00055.png,328,272,mound,72,196,108,233
00055.png,328,272,mound,112,155,138,180
00055.png,328,272,mound,120,115,158,150
00055.png,328,272,mound,110,2,134,26
00055.png,328,272,mound,97,85,132,118
00055.png,328,272,mound,123,61,161,100
00055.png,328,272,mound,237,61,282,113
00055.png,328,272,mound,75,29,104,59
00055.png,328,272,mound,195,119,216,137
