filename,width,height,class,xmin,ymin,xmax,ymax
00017.png,204,216,mound,109,5,153,46
00017.png,204,216,mound,109,48,140,78
00017.png,204,216,mound,65,174,89,195
00017.png,204,216,mound,83,58,110,85
00017.png,204,216,mound,89,102,111,117
00018.png,64,48,mound,16,5,50,36
00019.png,180,220,mound,68,51,98,78
00019.png,180,220,mound,97,70,128,99
00019.png,180,220,mound,128,54,162,87
00019.png,180,220,mound,107,110,136,140
00019.png,180,220,mound,58,89,93,118
00019.png,180,220,mound,61,126,98,156
00019.png,180,220,mound,53,172,81,201
00019.png,180,220,mound,78,154,107,181
00019.png,180,220,mound,54,5,82,43
00020.png,208,184,mound,92,15,136,58
00020.png,208,184,mound,83,55,116,88
00020.png,208,184,mound,66,89,90,112
00020.png,208,184,mound,137,43,172,81
00020.png,208,184,mound,99,82,135,117
00020.png,208,184,mound,103,120,134,149
00020.png,208,184,mound,75,120,106,150
00020.png,208,184,mound,63,159,96,184
00020.png,208,184,mound,14,158,33,175
00021.png,192,164,mound,71,50,101,78
00021.png,192,164,mound,89,93,121,122
00021.png,192,164,mound,124,29,156,60
00022.png,312,360,mound,119,88,152,121
00022.png,312,360,mound,160,117,209,166
00022.png,312,360,mound,162,173,205,212
00022.png,312,360,mound,209,102,238,129
00022.png,312,360,mound,214,171,255,212
00022.png,312,360,mound,172,221,205,252
00022.png,312,360,mound,152,246,181,276
00022.png,312,360,mound,182,249,219,282
00022.png,312,360,mound,42,144,89,185
00022.png,312,360,mound,99,234,135,265
00022.png,312,360,mound,120,261,155,291
00022.png,312,360,mound,151,276,184,308
00022.png,312,360,mound,275,41,312,77
00022.png,312,360,mound,204,49,236,78
00022.png,312,360,mound,226,78,253,102
00022.png,312,360,mound,241,104,264,125
00022.png,312,360,mound,157,325,184,344
00022.png,312,360,mound,144,74,168,97
00022.png,312,360,mound,103,128,147,168
00023.png,200,164,mound,82,51,144,115
00023.png,200,164,mound,27,50,62,99
00024.png,220,128,mound,82,15,116,43
00025.png,260,180,mound,105,55,157,111
00026.png,172,140,mound,62,22,124,87
00027.png,216,192,mound,89,62,170,142
00028.png,160,124,mound,76,13,103,40
00028.png,160,124,mound,92,38,126,71
00029.png,212,208,mound,100,54,170,114
00029.png,212,208,mound,114,148,160,187
00030.png,200,156,mound,91,74,121,98
00031.png,228,132,mound,112,43,155,83
00032.png,148,92,mound,58,23,91,49
00033.png,160,136,mound,61,60,119,111
