filename,width,height,class,xmin,ymin,xmax,ymax
69.png,264,228,mound,214,46,264,96
69.png,264,228,mound,139,123,186,168
69.png,264,228,mound,96,139,140,182
69.png,264,228,mound,99,84,144,130
69.png,264,228,mound,47,174,73,209
69.png,264,228,mound,6,191,36,228
69.png,264,228,mound,27,139,58,169
69.png,264,228,mound,0,171,39,189
69.png,264,228,mound,83,61,105,85
69.png,264,228,mound,10,51,38,86
69.png,264,228,mound,70,17,95,45
69.png,264,228,mound,50,52,73,75
69.png,264,228,mound,37,30,57,47
69.png,264,228,mound,96,4,123,27
69.png,264,228,mound,226,169,264,204
69.png,264,228,mound,165,96,199,120
69.png,264,228,mound,188,98,229,132
