filename,width,height,class,xmin,ymin,xmax,ymax
157.png,196,208,mound,9,29,40,58
157.png,196,208,mound,72,26,99,51
157.png,196,208,mound,109,8,141,36
157.png,196,208,mound,147,170,169,189
157.png,196,208,mound,167,68,196,97
157.png,196,208,mound,123,52,143,72
157.png,196,208,mound,136,75,158,97
157.png,196,208,mound,87,132,120,162
157.png,196,208,mound,123,98,143,118
157.png,196,208,mound,80,54,109,80
157.png,196,208,mound,27,177,54,203
157.png,196,208,mound,3,136,28,162
157.png,196,208,mound,51,96,81,128
157.png,196,208,mound,13,71,50,98
