filename,width,height,class,xmin,ymin,xmax,ymax
93.png,208,212,mound,139,17,155,35
93.png,208,212,mound,99,36,120,57
93.png,208,212,mound,177,38,196,55
93.png,208,212,mound,176,90,195,107
93.png,208,212,mound,179,137,201,155
93.png,208,212,mound,190,191,208,205
93.png,208,212,mound,148,114,173,135
93.png,208,212,mound,156,172,180,193
93.png,208,212,mound,124,160,144,182
93.png,208,212,mound,96,127,112,142
93.png,208,212,mound,70,54,90,70
93.png,208,212,mound,72,138,87,153
93.png,208,212,mound,58,158,73,171
93.png,208,212,mound,52,177,68,191
93.png,208,212,mound,93,184,113,203
93.png,208,212,mound,116,116,131,129
