filename,width,height,class,xmin,ymin,xmax,ymax
00097.png,168,220,mound,17,176,42,201
00097.png,168,220,mound,56,160,81,182
00097.png,168,220,mound,48,108,71,130
00097.png,168,220,mound,96,173,122,196
00097.png,168,220,mound,134,32,164,57
00097.png,168,220,mound,77,91,104,116
00097.png,168,220,mound,139,90,163,115
00097.png,168,220,mound,141,60,161,81
00097.png,168,220,mound,117,146,141,170
00097.png,168,220,mound,88,146,112,167
00097.png,168,220,mound,89,126,111,145
00097.png,168,220,mound,92,74,114,93
