filename,classification
ID=25_x=00_y=00.png,0
ID=25_x=00_y=01.png,0
ID=25_x=00_y=02.png,0
ID=25_x=00_y=03.png,0
ID=25_x=00_y=04.png,0
ID=25_x=00_y=05.png,0
ID=25_x=00_y=06.png,0
ID=25_x=00_y=07.png,0
ID=25_x=00_y=08.png,0
ID=25_x=00_y=09.png,0
ID=25_x=00_y=10.png,0
ID=25_x=00_y=11.png,0
ID=25_x=00_y=12.png,0
ID=25_x=00_y=13.png,0
ID=25_x=00_y=14.png,0
ID=25_x=00_y=15.png,0
ID=25_x=00_y=16.png,0
ID=25_x=00_y=17.png,0
ID=25_x=00_y=18.png,0
ID=25_x=00_y=19.png,0
ID=25_x=00_y=20.png,0
ID=25_x=00_y=21.png,0
ID=25_x=00_y=22.png,0
ID=25_x=00_y=23.png,0
ID=25_x=00_y=24.png,0
ID=25_x=00_y=25.png,0
ID=25_x=00_y=26.png,0
ID=25_x=00_y=27.png,0
ID=25_x=01_y=00.png,0
ID=25_x=01_y=01.png,0
ID=25_x=01_y=02.png,0
ID=25_x=01_y=03.png,0
ID=25_x=01_y=04.png,0
ID=25_x=01_y=05.png,0
ID=25_x=01_y=06.png,0
ID=25_x=01_y=07.png,0
ID=25_x=01_y=08.png,0
ID=25_x=01_y=09.png,0
ID=25_x=01_y=10.png,0
ID=25_x=01_y=11.png,0
ID=25_x=01_y=12.png,0
ID=25_x=01_y=13.png,0
ID=25_x=01_y=14.png,0
ID=25_x=01_y=15.png,0
ID=25_x=01_y=16.png,exclude
ID=25_x=01_y=17.png,0
ID=25_x=01_y=18.png,0
ID=25_x=01_y=19.png,0
ID=25_x=01_y=20.png,0
ID=25_x=01_y=21.png,0
ID=25_x=01_y=22.png,0
ID=25_x=01_y=23.png,0
ID=25_x=01_y=24.png,0
ID=25_x=01_y=25.png,0
ID=25_x=01_y=26.png,0
ID=25_x=01_y=27.png,0
ID=25_x=02_y=00.png,0
ID=25_x=02_y=01.png,0
ID=25_x=02_y=02.png,0
ID=25_x=02_y=03.png,0
ID=25_x=02_y=04.png,0
ID=25_x=02_y=05.png,0
ID=25_x=02_y=06.png,0
ID=25_x=02_y=07.png,0
ID=25_x=02_y=08.png,0
ID=25_x=02_y=09.png,0
ID=25_x=02_y=10.png,0
ID=25_x=02_y=11.png,0
ID=25_x=02_y=12.png,0
ID=25_x=02_y=13.png,0
ID=25_x=02_y=14.png,0
ID=25_x=02_y=15.png,0
ID=25_x=02_y=16.png,exclude
ID=25_x=02_y=17.png,0
ID=25_x=02_y=18.png,0
ID=25_x=02_y=19.png,0
ID=25_x=02_y=20.png,0
ID=25_x=02_y=21.png,0
ID=25_x=02_y=22.png,0
ID=25_x=02_y=23.png,0
ID=25_x=02_y=24.png,0
ID=25_x=02_y=25.png,0
ID=25_x=02_y=26.png,0
ID=25_x=02_y=27.png,0
ID=25_x=03_y=00.png,0
ID=25_x=03_y=01.png,0
ID=25_x=03_y=02.png,0
ID=25_x=03_y=03.png,0
ID=25_x=03_y=04.png,0
ID=25_x=03_y=05.png,0
ID=25_x=03_y=06.png,0
ID=25_x=03_y=07.png,0
ID=25_x=03_y=08.png,0
ID=25_x=03_y=09.png,1
ID=25_x=03_y=10.png,1
ID=25_x=03_y=11.png,1
ID=25_x=03_y=12.png,exclude
ID=25_x=03_y=13.png,exclude
ID=25_x=03_y=14.png,0
ID=25_x=03_y=15.png,0
ID=25_x=03_y=16.png,1
ID=25_x=03_y=17.png,0
ID=25_x=03_y=18.png,0
ID=25_x=03_y=19.png,0
ID=25_x=03_y=20.png,0
ID=25_x=03_y=21.png,0
ID=25_x=03_y=22.png,0
ID=25_x=03_y=23.png,0
ID=25_x=03_y=24.png,0
ID=25_x=03_y=25.png,0
ID=25_x=03_y=26.png,0
ID=25_x=03_y=27.png,0
ID=25_x=04_y=00.png,exclude
ID=25_x=04_y=01.png,exclude
ID=25_x=04_y=02.png,1
ID=25_x=04_y=03.png,1
ID=25_x=04_y=04.png,1
ID=25_x=04_y=05.png,0
ID=25_x=04_y=06.png,1
ID=25_x=04_y=07.png,1
ID=25_x=04_y=08.png,1
ID=25_x=04_y=09.png,1
ID=25_x=04_y=10.png,0
ID=25_x=04_y=11.png,0
ID=25_x=04_y=12.png,exclude
ID=25_x=04_y=13.png,exclude
ID=25_x=04_y=14.png,1
ID=25_x=04_y=15.png,1
ID=25_x=04_y=16.png,0
ID=25_x=04_y=17.png,0
ID=25_x=04_y=18.png,0
ID=25_x=04_y=19.png,0
ID=25_x=04_y=20.png,0
ID=25_x=04_y=21.png,0
ID=25_x=04_y=22.png,0
ID=25_x=04_y=23.png,0
ID=25_x=04_y=24.png,0
ID=25_x=04_y=25.png,0
ID=25_x=04_y=26.png,0
ID=25_x=04_y=27.png,0
ID=25_x=05_y=00.png,0
ID=25_x=05_y=01.png,0
ID=25_x=05_y=02.png,0
ID=25_x=05_y=03.png,0
ID=25_x=05_y=04.png,0
ID=25_x=05_y=05.png,1
ID=25_x=05_y=06.png,1
ID=25_x=05_y=07.png,0
ID=25_x=05_y=08.png,0
ID=25_x=05_y=09.png,0
ID=25_x=05_y=10.png,0
ID=25_x=05_y=11.png,0
ID=25_x=05_y=12.png,0
ID=25_x=05_y=13.png,0
ID=25_x=05_y=14.png,0
ID=25_x=05_y=15.png,0
ID=25_x=05_y=16.png,0
ID=25_x=05_y=17.png,0
ID=25_x=05_y=18.png,0
ID=25_x=05_y=19.png,0
ID=25_x=05_y=20.png,0
ID=25_x=05_y=21.png,0
ID=25_x=05_y=22.png,0
ID=25_x=05_y=23.png,0
ID=25_x=05_y=24.png,0
ID=25_x=05_y=25.png,0
ID=25_x=05_y=26.png,0
ID=25_x=05_y=27.png,0
ID=25_x=06_y=00.png,0
ID=25_x=06_y=01.png,0
ID=25_x=06_y=02.png,0
ID=25_x=06_y=03.png,0
ID=25_x=06_y=04.png,0
ID=25_x=06_y=05.png,exclude
ID=25_x=06_y=06.png,1
ID=25_x=06_y=07.png,1
ID=25_x=06_y=08.png,1
ID=25_x=06_y=09.png,0
ID=25_x=06_y=10.png,0
ID=25_x=06_y=11.png,0
ID=25_x=06_y=12.png,0
ID=25_x=06_y=13.png,0
ID=25_x=06_y=14.png,0
ID=25_x=06_y=15.png,0
ID=25_x=06_y=16.png,0
ID=25_x=06_y=17.png,0
ID=25_x=06_y=18.png,0
ID=25_x=06_y=19.png,0
ID=25_x=06_y=20.png,0
ID=25_x=06_y=21.png,0
ID=25_x=06_y=22.png,0
ID=25_x=06_y=23.png,0
ID=25_x=06_y=24.png,0
ID=25_x=06_y=25.png,0
ID=25_x=06_y=26.png,0
ID=25_x=06_y=27.png,0
ID=25_x=07_y=00.png,0
ID=25_x=07_y=01.png,0
ID=25_x=07_y=02.png,0
ID=25_x=07_y=03.png,0
ID=25_x=07_y=04.png,0
ID=25_x=07_y=05.png,0
ID=25_x=07_y=06.png,0
ID=25_x=07_y=07.png,0
ID=25_x=07_y=08.png,1
ID=25_x=07_y=09.png,1
ID=25_x=07_y=10.png,exclude
ID=25_x=07_y=11.png,0
ID=25_x=07_y=12.png,0
ID=25_x=07_y=13.png,0
ID=25_x=07_y=14.png,0
ID=25_x=07_y=15.png,0
ID=25_x=07_y=16.png,0
ID=25_x=07_y=17.png,0
ID=25_x=07_y=18.png,0
ID=25_x=07_y=19.png,0
ID=25_x=07_y=20.png,0
ID=25_x=07_y=21.png,0
ID=25_x=07_y=22.png,0
ID=25_x=07_y=23.png,0
ID=25_x=07_y=24.png,0
ID=25_x=07_y=25.png,0
ID=25_x=07_y=26.png,0
ID=25_x=07_y=27.png,0
ID=25_x=08_y=00.png,0
ID=25_x=08_y=01.png,0
ID=25_x=08_y=02.png,0
ID=25_x=08_y=03.png,0
ID=25_x=08_y=04.png,0
ID=25_x=08_y=05.png,0
ID=25_x=08_y=06.png,0
ID=25_x=08_y=07.png,0
ID=25_x=08_y=08.png,0
ID=25_x=08_y=09.png,0
