filename,classification
ID=4_x=00_y=00.png,0
ID=4_x=00_y=01.png,0
ID=4_x=00_y=02.png,1
ID=4_x=00_y=03.png,1
ID=4_x=00_y=04.png,0
ID=4_x=00_y=05.png,0
ID=4_x=00_y=06.png,0
ID=4_x=00_y=07.png,0
ID=4_x=00_y=08.png,0
ID=4_x=00_y=09.png,0
ID=4_x=01_y=00.png,0
ID=4_x=01_y=01.png,1
ID=4_x=01_y=02.png,1
ID=4_x=01_y=03.png,0
ID=4_x=01_y=04.png,0
ID=4_x=01_y=05.png,0
ID=4_x=01_y=06.png,0
ID=4_x=01_y=07.png,0
ID=4_x=01_y=08.png,0
ID=4_x=01_y=09.png,0
ID=4_x=02_y=00.png,0
ID=4_x=02_y=01.png,1
ID=4_x=02_y=02.png,0
ID=4_x=02_y=03.png,0
ID=4_x=02_y=04.png,0
ID=4_x=02_y=05.png,0
ID=4_x=02_y=06.png,0
ID=4_x=02_y=07.png,0
ID=4_x=02_y=08.png,0
ID=4_x=02_y=09.png,0
ID=4_x=03_y=00.png,0
ID=4_x=03_y=01.png,1
ID=4_x=03_y=02.png,0
ID=4_x=03_y=03.png,0
ID=4_x=03_y=04.png,0
ID=4_x=03_y=05.png,0
ID=4_x=03_y=06.png,0
ID=4_x=03_y=07.png,0
ID=4_x=03_y=08.png,0
ID=4_x=03_y=09.png,0
ID=4_x=04_y=00.png,0
ID=4_x=04_y=01.png,1
ID=4_x=04_y=02.png,0
ID=4_x=04_y=03.png,0
ID=4_x=04_y=04.png,0
ID=4_x=04_y=05.png,0
ID=4_x=04_y=06.png,0
ID=4_x=04_y=07.png,0
ID=4_x=04_y=08.png,0
ID=4_x=04_y=09.png,exclude
ID=4_x=05_y=00.png,0
ID=4_x=05_y=01.png,1
ID=4_x=05_y=02.png,0
ID=4_x=05_y=03.png,0
ID=4_x=05_y=04.png,0
ID=4_x=05_y=05.png,0
ID=4_x=05_y=06.png,0
ID=4_x=05_y=07.png,0
ID=4_x=05_y=08.png,0
ID=4_x=05_y=09.png,1
ID=4_x=06_y=00.png,0
ID=4_x=06_y=01.png,1
ID=4_x=06_y=02.png,0
ID=4_x=06_y=03.png,0
ID=4_x=06_y=04.png,0
ID=4_x=06_y=05.png,0
ID=4_x=06_y=06.png,0
ID=4_x=06_y=07.png,0
ID=4_x=06_y=08.png,0
ID=4_x=06_y=09.png,1
ID=4_x=07_y=00.png,0
ID=4_x=07_y=01.png,1
ID=4_x=07_y=02.png,1
ID=4_x=07_y=03.png,0
ID=4_x=07_y=04.png,0
ID=4_x=07_y=05.png,0
ID=4_x=07_y=06.png,0
ID=4_x=07_y=07.png,0
ID=4_x=07_y=08.png,1
ID=4_x=07_y=09.png,1
