filename,width,height,class,xmin,ymin,xmax,ymax
ID=8_x=00_y=01.png,1024,1024,quanat,483,188,531,231
ID=8_x=00_y=01.png,1024,1024,quanat,747,48,809,112
ID=8_x=00_y=01.png,1024,1024,quanat,765,0,812,35
ID=8_x=00_y=01.png,1024,1024,quanat,474,271,531,333
ID=8_x=00_y=01.png,1024,1024,quanat,403,465,450,505
ID=8_x=00_y=01.png,1024,1024,quanat,352,550,406,601
ID=8_x=00_y=01.png,1024,1024,quanat,331,648,395,698
ID=8_x=00_y=01.png,1024,1024,quanat,304,737,351,794
ID=8_x=00_y=01.png,1024,1024,quanat,275,836,335,886
ID=8_x=00_y=01.png,1024,1024,quanat,254,926,297,978
ID=8_x=00_y=01.png,1024,1024,quanat,597,983,650,1024
ID=8_x=00_y=01.png,1024,1024,quanat,611,820,667,879
ID=8_x=00_y=01.png,1024,1024,quanat,654,672,705,719
ID=8_x=00_y=01.png,1024,1024,quanat,683,534,729,602
ID=8_x=00_y=01.png,1024,1024,quanat,698,369,756,441
ID=8_x=00_y=01.png,1024,1024,quanat,724,223,779,284
ID=8_x=00_y=02.png,1024,1024,quanat,185,93,242,145
ID=8_x=00_y=02.png,1024,1024,quanat,166,193,217,237
ID=8_x=00_y=02.png,1024,1024,quanat,168,300,223,349
ID=8_x=00_y=02.png,1024,1024,quanat,141,403,208,453
ID=8_x=00_y=02.png,1024,1024,quanat,140,508,197,563
ID=8_x=00_y=02.png,1024,1024,quanat,181,731,225,775
ID=8_x=00_y=02.png,1024,1024,quanat,208,865,264,923
ID=8_x=00_y=02.png,1024,1024,quanat,372,871,426,935
ID=8_x=00_y=02.png,1024,1024,quanat,448,732,493,790
ID=8_x=00_y=02.png,1024,1024,quanat,542,923,585,967
ID=8_x=00_y=02.png,1024,1024,quanat,604,801,650,854
ID=8_x=00_y=02.png,1024,1024,quanat,506,592,546,649
ID=8_x=00_y=02.png,1024,1024,quanat,666,671,714,733
ID=8_x=00_y=02.png,1024,1024,quanat,737,539,782,590
ID=8_x=00_y=02.png,1024,1024,quanat,525,422,576,481
ID=8_x=00_y=02.png,1024,1024,quanat,551,284,604,337
ID=8_x=00_y=02.png,1024,1024,quanat,574,129,632,175
ID=8_x=00_y=02.png,1024,1024,quanat,803,414,856,459
ID=8_x=00_y=02.png,1024,1024,quanat,868,280,923,343
ID=8_x=00_y=02.png,1024,1024,quanat,932,153,977,201
ID=8_x=00_y=02.png,1024,1024,quanat,1006,31,1024,67
ID=8_x=00_y=02.png,1024,1024,quanat,162,997,207,1024
ID=8_x=00_y=04.png,1024,1024,quanat,4,27,42,65
ID=8_x=00_y=04.png,1024,1024,quanat,143,105,196,155
ID=8_x=00_y=04.png,1024,1024,quanat,49,236,96,289
ID=8_x=00_y=04.png,1024,1024,quanat,960,149,1011,205
ID=8_x=00_y=04.png,1024,1024,quanat,882,277,939,331
ID=8_x=00_y=04.png,1024,1024,quanat,815,395,863,438
ID=8_x=00_y=04.png,1024,1024,quanat,733,500,786,559
ID=8_x=00_y=04.png,1024,1024,quanat,643,618,700,664
ID=8_x=00_y=04.png,1024,1024,quanat,548,701,599,760
ID=8_x=00_y=04.png,1024,1024,quanat,453,814,509,882
ID=8_x=00_y=04.png,1024,1024,quanat,417,964,458,1010
ID=8_x=00_y=04.png,1024,1024,quanat,598,934,645,983
ID=8_x=00_y=04.png,1024,1024,quanat,751,794,796,845
ID=8_x=00_y=04.png,1024,1024,quanat,970,667,1019,738
ID=8_x=00_y=00.png,1024,1024,quanat,253,16,298,52
ID=8_x=00_y=00.png,1024,1024,quanat,251,64,306,119
ID=8_x=00_y=00.png,1024,1024,quanat,259,124,313,169
ID=8_x=00_y=00.png,1024,1024,quanat,265,193,333,251
ID=8_x=00_y=00.png,1024,1024,quanat,339,411,397,467
ID=8_x=00_y=00.png,1024,1024,quanat,375,524,428,580
ID=8_x=00_y=00.png,1024,1024,quanat,413,643,474,695
ID=8_x=00_y=00.png,1024,1024,quanat,442,760,492,813
ID=8_x=00_y=00.png,1024,1024,quanat,479,879,532,931
ID=8_x=00_y=00.png,1024,1024,quanat,573,993,608,1022
ID=8_x=00_y=00.png,1024,1024,quanat,616,954,645,995
